UnitCardAsset,Chassis,Variant,Type,Usage,IntroDate,BV2,Role,EnvironmentBlacklist,IntroDifficulty,Tier,Notes,Comstar_Rarity,Davion_Rarity,FreeRasalhagueRepublic_Rarity,Kurita_Rarity,Liao_Rarity,Marik_Rarity,Steiner_Rarity,Mercenaries_Rarity,Periphery_Rarity,Outlaws_Rarity,Independent_Rarity,BlackInferno_Rarity,FederatedCommonwealth_Rarity,Oberon_Confederation_Rarity,MagistracyOfCanopusRarity,TheBadDream_Rarity,Blackhearts_Rarity,BrionsLegion_Rarity,CraterCobras_Rarity,EridaniLightHorse_Rarity,FilthyLucre_Rarity,GrayDeathLegion_Rarity,GreggsLongstriders_Rarity,HansensRoughRiders_Rarity,HarlocksWarriors_Rarity,KellHounds_Rarity,LindonsCompany_Rarity,McCarronsArmoredCalvary_Rarity,MobileFire_Rarity,NorthwindHighlanders_Rarity,Thumpers_Rarity,WacoRangers_Rarity,WolfsDragoons_Rarity,Vest_Rarity,SolarisArms_Rarity,TripleF_Rarity,JumpJetFuel_Rarity,HighImpactBallistics_Rarity,BullheadArmor_Rarity,Musclebound_Rarity,EarthwerksIncorporated_Rarity,IroncladSystems_Rarity,LedouxEnterprises_Rarity,NovaTech_Rarity,StarfallCorp_Rarity,VanguardIndustries_Rarity
YASV_ANH-2AX_UnitCard,Annihilator,ANH-2AX,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3074,2542,Unit.Role.Juggernaut,,75,10,GeneratedByMechDatabaseExtender,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_ANH-3A_UnitCard,Annihilator,ANH-3A,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3068,1712,Unit.Role.Juggernaut,,70,7,GeneratedByMechDatabaseExtender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_ANH-SG_UnitCard,Annihilator,ANH-SG,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3073,1796,Unit.Role.Juggernaut,,55,8,GeneratedByMechDatabaseExtender,Rare,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_AS8-K_UnitCard,Atlas,AS8-K,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3140,2668,Unit.Role.Juggernaut,,61,9,GeneratedByMechDatabaseExtender,Uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_BL-S7-KNT_UnitCard,Black Knight,BL-S7-KNT,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3067,2000,Unit.Role.Brawler,,50,7,GeneratedByMechDatabaseExtender,VeryRare,VeryRare,VeryRare,Unavailable,Unavailable,Unavailable,VeryRare,VeryRare,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_CTF-5L_UnitCard,Cataphract,CTF-5L,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3067,2090,Unit.Role.Brawler,,50,6,GeneratedByMechDatabaseExtender,Unavailable,Uncommon,Unavailable,Unavailable,Uncommon,Unavailable,Unavailable,Rare,Unavailable,Unavailable,VeryRare,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_BLK-MHL_UnitCard,Conquistador,BLK-MHL,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3091,2420,Unit.Role.Brawler,,72,7,GeneratedByMechDatabaseExtender,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_BLK-OA_UnitCard,Conquistador,BLK-OA,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3091,2420,Unit.Role.Brawler,,72,7,GeneratedByMechDatabaseExtender,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_BLK-OB_UnitCard,Conquistador,BLK-OB,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3091,2420,Unit.Role.Brawler,,72,7,GeneratedByMechDatabaseExtender,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_BLK-OC_UnitCard,Conquistador,BLK-OC,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3091,2420,Unit.Role.Brawler,,72,7,GeneratedByMechDatabaseExtender,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
